brand_id,brand,brand_value,bio,quote,quote_attribute,intro,lifestyle_copy,short_bio,listing_bio
01ESKR0CH2KYC7KBNTN0S38EQA,Mari Giudicelli,Handmade / Artisan Crafted,,,,,,,"Behold Mari Giudicelli! This Brazilian shoe designer is a maven of style, and her designs are packed with easy-going elegance. You'll want to pair these covet worthy shoes with every outfit."
01ESKR0CH2KYC7KBNTN0S38EQA,Mari Giudicelli,Sustainable,,,,,,,"Behold Mari Giudicelli! This Brazilian shoe designer is a maven of style, and her designs are packed with easy-going elegance. You'll want to pair these covet worthy shoes with every outfit."
01ESKR0CH2KYC7KBNTN0S38EQA,Mari Giudicelli,Women Owned,,,,,,,"Behold Mari Giudicelli! This Brazilian shoe designer is a maven of style, and her designs are packed with easy-going elegance. You'll want to pair these covet worthy shoes with every outfit."
01ESVD80YYAJQEQPADZ7HTHZXA,Warm,,,,,,,,"Behold Warm! Founded by specialty store owner, Winnie Beattie, this private label line is reminiscent of Winnie's independent spirit, and embodies all things feminine, hippy, and free-spirited. Between their ruffled dresses and peasant blouses, Warm is the go-to for a relaxed and easy-going wardrobe moment.  "
01EFJFZ329YVC8SK87R2BNJGV0,Vaara,Emerging,,,,,,,
01EFJFYPRSP57FG4WC6NN3W4AX,Ancient Greek Sandals,Handmade / Artisan Crafted,"Ancient Greek Sandals are handmade locally by skilled craftsmen using traditional techniques that
have existed for centuries. A raw, yet feminine aesthetic distinguishes this new sandal brand. The
chemical free, natural tan leather ages beautifully with time and wear.

Christina and Nikolas’s love for Ancient Greece and its history, combined with their individual
technical skills naturally led to the creation of ‘Ancient Greek Sandals’. The collection is inspired
by ancient Greek Gods and myths, pottery, jewellery and sculpture.","A luxury, keep-forever version of the roadside-made shoes bought every holiday.",Vogue UK,"According to an Ancient Greek myth, the gods and goddesses had their sandals made on the
beautiful island of Crete by a gifted sandal maker who enriched each pair with magical powers.
Famous for having made the flying sandals for Hermes, the sandal maker also embellished them
with his personal signature… a “golden wing” buckle.","Our Thais in Natural under the sun, Get ready for the summer season 🌈✨",Handmade leather sandals with traditional techniques combined with a modern twist.,"Behold Ancient Greek Sandals! For when you don't have enough vacation days to go to Mykonos... Founders Christina and Nikolas offer beautiful, locally-made sandals using naturally tanned leather free of all chemicals. The techniques used to craft these famous shoes have been used for centuries, and ensure that each pair is strong enough to take you on any journey."
01EGK48V5A9H3524T57YY6CHAP,Avavav,Women Owned,"AV finds new ways of working within the traditional fashion industry, we create monthly capsule collections and weekly drops. We produce only what is relevant, we keep quality high, quantities low and reduce waste.

We compare ourselves to a restaurant that creates its menu from the seasonal vegetables available locally to them.",WE GIVE NEW LIFE TO LEFTOVER FABRICS FROM THE LUXURY TEXTILE INDUSTRY IN FLORENCE.,"Linda Friberg, Co-Founder","AVAVAV offers luxury, contemporary fashion at affordable prices. 
All made in Italy, we play with volume and silhouette using high quality fabrics.
 
We truly believe in the individual, in building your own authentic expression, in acceptance of everyone and in kindness towards each other and the rest of the planet.",...,"A little bit of Sweden, A little bit of Italy and a large portion of sustainability.","Behold Avavav! Florence-based design duo, Adam and Lisa Friberg, have created a sustainable dreamland with designs produced entirely from deadstock fabric. Their commitment to responsible manufacturing combined with their go-to ruffles, ruching, and peter pan collars make for an overall A+ look."
01EGK48V5A9H3524T57YY6CHAP,Avavav,Sustainable,"AV finds new ways of working within the traditional fashion industry, we create monthly capsule collections and weekly drops. We produce only what is relevant, we keep quality high, quantities low and reduce waste.

We compare ourselves to a restaurant that creates its menu from the seasonal vegetables available locally to them.",WE GIVE NEW LIFE TO LEFTOVER FABRICS FROM THE LUXURY TEXTILE INDUSTRY IN FLORENCE.,"Linda Friberg, Co-Founder","AVAVAV offers luxury, contemporary fashion at affordable prices. 
All made in Italy, we play with volume and silhouette using high quality fabrics.
 
We truly believe in the individual, in building your own authentic expression, in acceptance of everyone and in kindness towards each other and the rest of the planet.",...,"A little bit of Sweden, A little bit of Italy and a large portion of sustainability.","Behold Avavav! Florence-based design duo, Adam and Lisa Friberg, have created a sustainable dreamland with designs produced entirely from deadstock fabric. Their commitment to responsible manufacturing combined with their go-to ruffles, ruching, and peter pan collars make for an overall A+ look."
01EGK48V5A9H3524T57YY6CHAP,Avavav,Emerging,"AV finds new ways of working within the traditional fashion industry, we create monthly capsule collections and weekly drops. We produce only what is relevant, we keep quality high, quantities low and reduce waste.

We compare ourselves to a restaurant that creates its menu from the seasonal vegetables available locally to them.",WE GIVE NEW LIFE TO LEFTOVER FABRICS FROM THE LUXURY TEXTILE INDUSTRY IN FLORENCE.,"Linda Friberg, Co-Founder","AVAVAV offers luxury, contemporary fashion at affordable prices. 
All made in Italy, we play with volume and silhouette using high quality fabrics.
 
We truly believe in the individual, in building your own authentic expression, in acceptance of everyone and in kindness towards each other and the rest of the planet.",...,"A little bit of Sweden, A little bit of Italy and a large portion of sustainability.","Behold Avavav! Florence-based design duo, Adam and Lisa Friberg, have created a sustainable dreamland with designs produced entirely from deadstock fabric. Their commitment to responsible manufacturing combined with their go-to ruffles, ruching, and peter pan collars make for an overall A+ look."
01EFCRCM541YY74XDXQ3FJXQGD,Misa,Emerging,"Guided by our core principle of effortless femininity, MISA elevates the idea of easy dressing with fluid silhouettes that are brought to life through airy fabrics, confident prints and unique detailing.  We create many-moment dresses, separates and knitwear that take you from... day to evening, week to weekend, and home to travels away.","Interesting textures and fabrications, at a friendly price point, Misa covers daywear to going-out..",Vogue,"In 2016, Shadi Askari-Farhat launched MISA, which is a combination of her daughters’ names.  Born in Los Angeles with an eye to the world, the brand is deeply inspired by her myriad passions — including travel, art and design.","All of our pieces are handmade in Los Angeles by our team of designers, pattern-makers and sewists, most of whom have worked with us from the beginning.  Many loving hands touch each garment — some with over 50 steps — in order to bring the collection to life each season.","We embody a romantic heart, bohemian spirit and wanderlust eye.","Behold Misa! Made in LA, these effortless bohemian creations are one of our go-to's for just about any occasion. Embodying the spirit of late founder Shadi Askari-Farhat's wanderlust eye, these pieces will transport you to the best of times."
01EFJFYQZTCFJQ26MDA71V9TY1,Banjanan,Women Owned,Banjanan is hand-printed on organic cotton. It manufactures locally and adheres to a no-waste philosophy.  ,Bright dresses are having a moment - look no further than Banjanan.,Vogue,"Banjanan is designed by industry veteran Caroline Weller.  Drawing inspiration from nature, the brand celebrates color and joyfulness.  
Hand-printed or hand embroidered on organic cotton in India, Banjanan sources and manufactures locally, and adheres to a no-waste philosophy.  Special attention is taken in every aspect of the supply chain to create responsible and sustainable decisions. 





 ","

""Sometimes the patterns don’t align or the dyes fail to dry and bloom beyond their borders (no printing is done during the monsoon for that reason).

It’s the tiny flaws, and the sense of a human hand, that gives them depth.""  - T Magazine,  The New York Times",Designed by Caroline Weller,Behold Banjanan! Founder Caroline Weller leverages her Indian craft and strong batik capabilities to create gorgeous dresses that will make you feel like every season is resort season. Weller takes it one step further by prioritizing sustainability and producing ethically and locally with talented vendors in Jaipur.
01EFJFYQZTCFJQ26MDA71V9TY1,Banjanan,Sustainable,Banjanan is hand-printed on organic cotton. It manufactures locally and adheres to a no-waste philosophy.  ,Bright dresses are having a moment - look no further than Banjanan.,Vogue,"Banjanan is designed by industry veteran Caroline Weller.  Drawing inspiration from nature, the brand celebrates color and joyfulness.  
Hand-printed or hand embroidered on organic cotton in India, Banjanan sources and manufactures locally, and adheres to a no-waste philosophy.  Special attention is taken in every aspect of the supply chain to create responsible and sustainable decisions. 





 ","

""Sometimes the patterns don’t align or the dyes fail to dry and bloom beyond their borders (no printing is done during the monsoon for that reason).

It’s the tiny flaws, and the sense of a human hand, that gives them depth.""  - T Magazine,  The New York Times",Designed by Caroline Weller,Behold Banjanan! Founder Caroline Weller leverages her Indian craft and strong batik capabilities to create gorgeous dresses that will make you feel like every season is resort season. Weller takes it one step further by prioritizing sustainability and producing ethically and locally with talented vendors in Jaipur.
01EFJFYQZTCFJQ26MDA71V9TY1,Banjanan,Handmade / Artisan Crafted,Banjanan is hand-printed on organic cotton. It manufactures locally and adheres to a no-waste philosophy.  ,Bright dresses are having a moment - look no further than Banjanan.,Vogue,"Banjanan is designed by industry veteran Caroline Weller.  Drawing inspiration from nature, the brand celebrates color and joyfulness.  
Hand-printed or hand embroidered on organic cotton in India, Banjanan sources and manufactures locally, and adheres to a no-waste philosophy.  Special attention is taken in every aspect of the supply chain to create responsible and sustainable decisions. 





 ","

""Sometimes the patterns don’t align or the dyes fail to dry and bloom beyond their borders (no printing is done during the monsoon for that reason).

It’s the tiny flaws, and the sense of a human hand, that gives them depth.""  - T Magazine,  The New York Times",Designed by Caroline Weller,Behold Banjanan! Founder Caroline Weller leverages her Indian craft and strong batik capabilities to create gorgeous dresses that will make you feel like every season is resort season. Weller takes it one step further by prioritizing sustainability and producing ethically and locally with talented vendors in Jaipur.
01EFJFYQZTCFJQ26MDA71V9TY1,Banjanan,Emerging,Banjanan is hand-printed on organic cotton. It manufactures locally and adheres to a no-waste philosophy.  ,Bright dresses are having a moment - look no further than Banjanan.,Vogue,"Banjanan is designed by industry veteran Caroline Weller.  Drawing inspiration from nature, the brand celebrates color and joyfulness.  
Hand-printed or hand embroidered on organic cotton in India, Banjanan sources and manufactures locally, and adheres to a no-waste philosophy.  Special attention is taken in every aspect of the supply chain to create responsible and sustainable decisions. 





 ","

""Sometimes the patterns don’t align or the dyes fail to dry and bloom beyond their borders (no printing is done during the monsoon for that reason).

It’s the tiny flaws, and the sense of a human hand, that gives them depth.""  - T Magazine,  The New York Times",Designed by Caroline Weller,Behold Banjanan! Founder Caroline Weller leverages her Indian craft and strong batik capabilities to create gorgeous dresses that will make you feel like every season is resort season. Weller takes it one step further by prioritizing sustainability and producing ethically and locally with talented vendors in Jaipur.
01ESVVCKRABQKM87ATWNPE1P4F,Hyer Goods,Sustainable,"At HYER GOODS, we think there's a better way to design, a way that is better for people and better for planet. That's why we redirect high quality material waste away from landfills and upcycle it into cute, classic pieces that will last for generations. That way you don't have to choose between looking cute and feeling good. We call this Better Leather. We also recognize that the health of our planet is inextricably linked to the health and well-being of the people living on it. That's why we've pledged to donate 1% of net sales to support organizations which foster the physical and mental well being of people in need.  ",Because nobody should have to sacrifice style for sustainability.,"Dana Cohen, Founder","At Hyer Goods we make elevated accessories for the conscious consumer. From wallets to handbags, hats to keychains, we design everything with the environment in mind, resulting in beautifully crafted, sustainable small goods with big impact.","Leather is not perfect, but we believe Better Leather is as close as it gets. Made from 100% waste, it depletes ZERO new resources and eliminates the energy output necessary to create any material. Leather is durable and wears well over time. And if it does ever find its way into a landfill, it's organic matter and will degrade in a reasonable amount of time.",Better Leather for the Conscious Consumer,"Behold Hyer Goods! Founder, Dana Cohen, started her brand out of a desire to give new life to waste accumulated by the fashion industry. The result? Beautifully crafted accessories made of luxe, upcycled materials like genuine leather sourced from scraps. With a full variety of accessories ranging from key chains to crossbodies, Hyer Goods makes the choice of sustainability a no-brainer. "
01ESVVCKRABQKM87ATWNPE1P4F,Hyer Goods,Emerging,"At HYER GOODS, we think there's a better way to design, a way that is better for people and better for planet. That's why we redirect high quality material waste away from landfills and upcycle it into cute, classic pieces that will last for generations. That way you don't have to choose between looking cute and feeling good. We call this Better Leather. We also recognize that the health of our planet is inextricably linked to the health and well-being of the people living on it. That's why we've pledged to donate 1% of net sales to support organizations which foster the physical and mental well being of people in need.  ",Because nobody should have to sacrifice style for sustainability.,"Dana Cohen, Founder","At Hyer Goods we make elevated accessories for the conscious consumer. From wallets to handbags, hats to keychains, we design everything with the environment in mind, resulting in beautifully crafted, sustainable small goods with big impact.","Leather is not perfect, but we believe Better Leather is as close as it gets. Made from 100% waste, it depletes ZERO new resources and eliminates the energy output necessary to create any material. Leather is durable and wears well over time. And if it does ever find its way into a landfill, it's organic matter and will degrade in a reasonable amount of time.",Better Leather for the Conscious Consumer,"Behold Hyer Goods! Founder, Dana Cohen, started her brand out of a desire to give new life to waste accumulated by the fashion industry. The result? Beautifully crafted accessories made of luxe, upcycled materials like genuine leather sourced from scraps. With a full variety of accessories ranging from key chains to crossbodies, Hyer Goods makes the choice of sustainability a no-brainer. "
01ESVVCKRABQKM87ATWNPE1P4F,Hyer Goods,Women Owned,"At HYER GOODS, we think there's a better way to design, a way that is better for people and better for planet. That's why we redirect high quality material waste away from landfills and upcycle it into cute, classic pieces that will last for generations. That way you don't have to choose between looking cute and feeling good. We call this Better Leather. We also recognize that the health of our planet is inextricably linked to the health and well-being of the people living on it. That's why we've pledged to donate 1% of net sales to support organizations which foster the physical and mental well being of people in need.  ",Because nobody should have to sacrifice style for sustainability.,"Dana Cohen, Founder","At Hyer Goods we make elevated accessories for the conscious consumer. From wallets to handbags, hats to keychains, we design everything with the environment in mind, resulting in beautifully crafted, sustainable small goods with big impact.","Leather is not perfect, but we believe Better Leather is as close as it gets. Made from 100% waste, it depletes ZERO new resources and eliminates the energy output necessary to create any material. Leather is durable and wears well over time. And if it does ever find its way into a landfill, it's organic matter and will degrade in a reasonable amount of time.",Better Leather for the Conscious Consumer,"Behold Hyer Goods! Founder, Dana Cohen, started her brand out of a desire to give new life to waste accumulated by the fashion industry. The result? Beautifully crafted accessories made of luxe, upcycled materials like genuine leather sourced from scraps. With a full variety of accessories ranging from key chains to crossbodies, Hyer Goods makes the choice of sustainability a no-brainer. "
01EFJFYNC13DQHA0DD9GH2HVEB,Aera,Sustainable,"We believe that Luxury is not a new pair of shoes. Luxury is clean water and fresh air. It’s not about how much you have, but how much you give back. It’s considering people and the planet when making product. It’s raising the bar, not just for yourself, but for others. It’s about honoring traditions while blazing new trails. It’s about looking forward, not back. It’s about making sure every step you take, has as small an environmental impact as possible. Because real luxury is leaving the world better than you found it.
Our shoes are certified Vegan. We went to great lengths to ensure that all components are made from non-animal ingredients, yet still maintain the quality and style expected from a luxury shoe. For the outer material and the lining, two of the most important materials in ensuring the quality, look, feel, and longevity of our shoes, we worked with the leading manufacturer of non-leather shoe materials in Italy. ",The AERA of vegan footwear is here.,CFDA,"AERA is leading the luxury footwear industry forward by placing equal value on product, people and the planet. With timeless designs that are ethically crafted from certified vegan materials, we strive to make sustainability the new normal. Not only are we neutralizing our environmental impact, but we are also going one step further by offsetting it by 110%. Ultimately, we created AERA because we believe doing good is as important as looking good.","We use as many eco-friendly materials as possible, always ensuring that the end result is of the highest quality. We are committed to evolving our materials, with the ultimate goal to one day be able to create a shoe with zero environmental impact to begin with.",100% Luxury. 110% Sustainable.,Behold Aera! The luxe footwear brand proving that luxury and sustainability can go hand-in-hand. Aera's stunning and sustainable Italian craftsmanship shows itself repeatedly in everything from boots to ballerina flats.
01EFJFYNC13DQHA0DD9GH2HVEB,Aera,Emerging,"We believe that Luxury is not a new pair of shoes. Luxury is clean water and fresh air. It’s not about how much you have, but how much you give back. It’s considering people and the planet when making product. It’s raising the bar, not just for yourself, but for others. It’s about honoring traditions while blazing new trails. It’s about looking forward, not back. It’s about making sure every step you take, has as small an environmental impact as possible. Because real luxury is leaving the world better than you found it.
Our shoes are certified Vegan. We went to great lengths to ensure that all components are made from non-animal ingredients, yet still maintain the quality and style expected from a luxury shoe. For the outer material and the lining, two of the most important materials in ensuring the quality, look, feel, and longevity of our shoes, we worked with the leading manufacturer of non-leather shoe materials in Italy. ",The AERA of vegan footwear is here.,CFDA,"AERA is leading the luxury footwear industry forward by placing equal value on product, people and the planet. With timeless designs that are ethically crafted from certified vegan materials, we strive to make sustainability the new normal. Not only are we neutralizing our environmental impact, but we are also going one step further by offsetting it by 110%. Ultimately, we created AERA because we believe doing good is as important as looking good.","We use as many eco-friendly materials as possible, always ensuring that the end result is of the highest quality. We are committed to evolving our materials, with the ultimate goal to one day be able to create a shoe with zero environmental impact to begin with.",100% Luxury. 110% Sustainable.,Behold Aera! The luxe footwear brand proving that luxury and sustainability can go hand-in-hand. Aera's stunning and sustainable Italian craftsmanship shows itself repeatedly in everything from boots to ballerina flats.
01EFJFYNC13DQHA0DD9GH2HVEB,Aera,Vegan,"We believe that Luxury is not a new pair of shoes. Luxury is clean water and fresh air. It’s not about how much you have, but how much you give back. It’s considering people and the planet when making product. It’s raising the bar, not just for yourself, but for others. It’s about honoring traditions while blazing new trails. It’s about looking forward, not back. It’s about making sure every step you take, has as small an environmental impact as possible. Because real luxury is leaving the world better than you found it.
Our shoes are certified Vegan. We went to great lengths to ensure that all components are made from non-animal ingredients, yet still maintain the quality and style expected from a luxury shoe. For the outer material and the lining, two of the most important materials in ensuring the quality, look, feel, and longevity of our shoes, we worked with the leading manufacturer of non-leather shoe materials in Italy. ",The AERA of vegan footwear is here.,CFDA,"AERA is leading the luxury footwear industry forward by placing equal value on product, people and the planet. With timeless designs that are ethically crafted from certified vegan materials, we strive to make sustainability the new normal. Not only are we neutralizing our environmental impact, but we are also going one step further by offsetting it by 110%. Ultimately, we created AERA because we believe doing good is as important as looking good.","We use as many eco-friendly materials as possible, always ensuring that the end result is of the highest quality. We are committed to evolving our materials, with the ultimate goal to one day be able to create a shoe with zero environmental impact to begin with.",100% Luxury. 110% Sustainable.,Behold Aera! The luxe footwear brand proving that luxury and sustainability can go hand-in-hand. Aera's stunning and sustainable Italian craftsmanship shows itself repeatedly in everything from boots to ballerina flats.
01EFJFYNC13DQHA0DD9GH2HVEB,Aera,Handmade / Artisan Crafted,"We believe that Luxury is not a new pair of shoes. Luxury is clean water and fresh air. It’s not about how much you have, but how much you give back. It’s considering people and the planet when making product. It’s raising the bar, not just for yourself, but for others. It’s about honoring traditions while blazing new trails. It’s about looking forward, not back. It’s about making sure every step you take, has as small an environmental impact as possible. Because real luxury is leaving the world better than you found it.
Our shoes are certified Vegan. We went to great lengths to ensure that all components are made from non-animal ingredients, yet still maintain the quality and style expected from a luxury shoe. For the outer material and the lining, two of the most important materials in ensuring the quality, look, feel, and longevity of our shoes, we worked with the leading manufacturer of non-leather shoe materials in Italy. ",The AERA of vegan footwear is here.,CFDA,"AERA is leading the luxury footwear industry forward by placing equal value on product, people and the planet. With timeless designs that are ethically crafted from certified vegan materials, we strive to make sustainability the new normal. Not only are we neutralizing our environmental impact, but we are also going one step further by offsetting it by 110%. Ultimately, we created AERA because we believe doing good is as important as looking good.","We use as many eco-friendly materials as possible, always ensuring that the end result is of the highest quality. We are committed to evolving our materials, with the ultimate goal to one day be able to create a shoe with zero environmental impact to begin with.",100% Luxury. 110% Sustainable.,Behold Aera! The luxe footwear brand proving that luxury and sustainability can go hand-in-hand. Aera's stunning and sustainable Italian craftsmanship shows itself repeatedly in everything from boots to ballerina flats.
01EFJFYSA2NEK3QYTH016QVXGF,Chufy,Women Owned,"Launched in 2017, Chufy features ready-to-wear and infuses high quality fabrics in a vivid color palette of playful patterns. Sofia’s bold and colorful designs are influenced by the vintage fabrics and traditional garments she collected during her travels across the globe. Chufy reflects a contemporary flair juxtaposed with traditional touches. The brand embodies a woman, that just like Sofia, likes to explore the world and wants to be comfortable yet sophisticated.","""The real voyage of discovery consists not in seeking new landscapes, but in having new eyes""",Marcel Proust,"Each season of Chufy focuses on a new destination and its culture, collaborating with artisans to imbue every piece with the authenticity of local craftsmanship. Chufy updates those traditions for modern life.",Sunsets on the beach and flowing dresses...,Discover Chufy's travel inspired collections.,"Behold Chufy! Founded by well-seasoned traveler, style influencer, and artistic director Sophie Sanches de Betak, each of Chufy's colorful, patterned pieces are easy to throw together and have the ability to make you feel like a world traveler (even if you've been working from home since March). "
01EFJFYSA2NEK3QYTH016QVXGF,Chufy,Sustainable,"Launched in 2017, Chufy features ready-to-wear and infuses high quality fabrics in a vivid color palette of playful patterns. Sofia’s bold and colorful designs are influenced by the vintage fabrics and traditional garments she collected during her travels across the globe. Chufy reflects a contemporary flair juxtaposed with traditional touches. The brand embodies a woman, that just like Sofia, likes to explore the world and wants to be comfortable yet sophisticated.","""The real voyage of discovery consists not in seeking new landscapes, but in having new eyes""",Marcel Proust,"Each season of Chufy focuses on a new destination and its culture, collaborating with artisans to imbue every piece with the authenticity of local craftsmanship. Chufy updates those traditions for modern life.",Sunsets on the beach and flowing dresses...,Discover Chufy's travel inspired collections.,"Behold Chufy! Founded by well-seasoned traveler, style influencer, and artistic director Sophie Sanches de Betak, each of Chufy's colorful, patterned pieces are easy to throw together and have the ability to make you feel like a world traveler (even if you've been working from home since March). "
