outfit_id,product_id,outfit_item_type,brand,product_full_name
01DDBHC62ES5K80P0KYJ56AM2T,01DMBRYVA2P5H24WK0HTK4R0A1,bottom,Eileen Fisher,Slim Knit Skirt
01DDBHC62ES5K80P0KYJ56AM2T,01DMBRYVA2PEPWFTT7RMP5AA1T,top,Eileen Fisher,Rib Mock Neck Tank
01DDBHC62ES5K80P0KYJ56AM2T,01DMBRYVA2S5T9W793F4CY41HE,accessory1,kate spade new york,medium margaux leather satchel
01DDBHC62ES5K80P0KYJ56AM2T,01DMBRYVA2ZFDYRYY5TRQZJTBD,shoe,Tory Burch,Penelope Mid Cap Toe Pump
01DMHCX50CFX5YNG99F3Y65GQW,01DMBRYVA2P5H24WK0HTK4R0A1,bottom,Eileen Fisher,Slim Knit Skirt
01DMHCX50CFX5YNG99F3Y65GQW,01DMBRYVA2PEPWFTT7RMP5AA1T,top,Eileen Fisher,Rib Mock Neck Tank
01DMHCX50CFX5YNG99F3Y65GQW,01DMBRYVA2ZFDYRYY5TRQZJTBD,shoe,Tory Burch,Penelope Mid Cap Toe Pump
01DMHCX50CFX5YNG99F3Y65GQW,01DMHCNT41E14QWP503V7CT9G6,accessory1,Nina,Crystal Clutch
01DMHRX35M2DPVYVQ1PNER4S4B,01DMBRYVA2Q2ST7MNYR6EEY4TK,onepiece,Equipment,Chemelle Midi Dress
01DMHRX35M2DPVYVQ1PNER4S4B,01DMBRYVA2ZFDYRYY5TRQZJTBD,shoe,Tory Burch,Penelope Mid Cap Toe Pump
01DMHRX35M2DPVYVQ1PNER4S4B,01DMHCNT41E14QWP503V7CT9G6,accessory1,Nina,Crystal Clutch
01DMHRYZDTF2NBJ13ZEARKHA3T,01DMBRYVA2Q2ST7MNYR6EEY4TK,onepiece,Equipment,Chemelle Midi Dress
01DMHRYZDTF2NBJ13ZEARKHA3T,01DMBRYVA2S5T9W793F4CY41HE,accessory1,kate spade new york,medium margaux leather satchel
01DMHRYZDTF2NBJ13ZEARKHA3T,01DMBRYVA2ZFDYRYY5TRQZJTBD,shoe,Tory Burch,Penelope Mid Cap Toe Pump
01DQ63P636Q4BQVCKT6Z4S41G5,01DPCRZWX4S2Z8Q5HYDFM4HNEG,shoe,J.Crew,Pointed-toe flats in suede
01DQ63P636Q4BQVCKT6Z4S41G5,01DPET2NWSA221STZF740BZ9SW,top,Veronica Beard,Ashlynn Blouse
01DQ63P636Q4BQVCKT6Z4S41G5,01DPKMGJ33SDFXM7XHGPQJWQ12,bottom,Reformation,Benson Skirt
01DQ86EH3GMXAVKNECH2Z6FCSV,01DPGTXH6QTM161M660N9W7C3S,shoe,J.Crew,Block-heel pumps in suede
01DQ86EH3GMXAVKNECH2Z6FCSV,01DPGWYTS97KK213K1QNJV6610,accessory1,J.Crew,Bembien® Jeanne leather woven market tote bag
01DQ86EH3GMXAVKNECH2Z6FCSV,01DPKNJ6J1NQPQ1D3DBKWK5ARS,onepiece,Reformation,Rosamund Dress
01DQ8KWVX1GBJTPTVDAC6NQ9B4,01DPGTHPSYZCNW17PFDX20C2B6,shoe,J.Crew,Gwen flats in croc-embossed leather
01DQ8KWVX1GBJTPTVDAC6NQ9B4,01DPGZWS42TP4NJ1GGF50Z9DZF,accessory2,Veronica Beard,Matteo Dickey Jacket
01DQ8KWVX1GBJTPTVDAC6NQ9B4,01DPKNB12343SAE0F718PX02YZ,top,Reformation,Ludlow Top
01DQ8KWVX1GBJTPTVDAC6NQ9B4,01DPKNJA2K022V3KP077611MKC,bottom,Reformation,Everett Pant
01DQ8ME3M3QS9MQGZCQHXDHE1R,01DPEHS0XH9PDD1GH5ZE4P43A2,accessory1,Sole Society,Cassi Belt Bag
01DQ8ME3M3QS9MQGZCQHXDHE1R,01DPKMH0D252JKMAA27MFCT5GM,bottom,Reformation,Marlon Pant
01DQ8ME3M3QS9MQGZCQHXDHE1R,01DPKN20Q3J0BE3CS896DQB6ER,top,Reformation,Jane Sweater
01DQ8ME3M3QS9MQGZCQHXDHE1R,01DPKNHQDG6GPTKV97CFQRJDHE,shoe,Reformation,Giulia Satin Heel
01DQ8MQAVBFSGHJXCF5JCYJ7A6,01DPGV4RAP5Z0BYH1X7K2YK0DF,top,Frame,Silk Tucked Bib Blouse
01DQ8MQAVBFSGHJXCF5JCYJ7A6,01DPKMKG14KT68YQY0MWA1CAA8,bottom,Reformation,Julia Crop High Cigarette Jean
01DQ8MQAVBFSGHJXCF5JCYJ7A6,01DPKN22N1X0RRJQYAYVTRPD75,accessory2,Reformation,Morgan Sweater
01DQ8MQAVBFSGHJXCF5JCYJ7A6,01DPKND5D3PPZ0XS4TCPMHTRTZ,shoe,Reformation,Charlotte Boot
01DQ8NM7YPX63A6V7S0WC8N4X6,01DPGWW5EA4KQ73H255BDHWZND,shoe,J.Crew,Pointed toe high-heel ankle boots in suede
01DQ8NM7YPX63A6V7S0WC8N4X6,01DPH1A23QXSRMGAR9H3FRND2F,accessory2,Sole Society,Ragna Clutch
01DQ8NM7YPX63A6V7S0WC8N4X6,01DPKNH3114HSWEJX3PT2DZNMB,onepiece,Reformation,Karmen Dress
01DQ8PBB3MHENH040414WNDRSM,01DPCWRYQMHRAG7NJ3Q5JJMT42,shoe,J.Crew,Lucie suede pumps
01DQ8PBB3MHENH040414WNDRSM,01DPD8C9XN7MQSHSSTKTCZZN1N,accessory1,J.Crew,Loeffler Randall® Marla square shoulder bag
01DQ8PBB3MHENH040414WNDRSM,01DPGSFJK363CXPQDA2NZ7KKH1,bottom,Veronica Beard,Vail Skirt
01DQ8PBB3MHENH040414WNDRSM,01DPKNAXXK774YWVKC4XQCCEXA,top,Reformation,Anne Top
01DQ8XK5WH02037JGY1NA5W5JS,01DPD2FYRJG5WKXX8HEKRN9J9B,top,Veronica Beard,Merci Blouse
01DQ8XK5WH02037JGY1NA5W5JS,01DPGTHPSYZCNW17PFDX20C2B6,shoe,J.Crew,Gwen flats in croc-embossed leather
01DQ8XK5WH02037JGY1NA5W5JS,01DPGVQYVFSBEP5RK51CZTK5YB,accessory2,Frame,Velvet Stand Soutache Jacket
01DQ8XK5WH02037JGY1NA5W5JS,01DPKNJA2K022V3KP077611MKC,bottom,Reformation,Everett Pant
01DQBAVTX4DV62X94VAKV5GCC9,01DPGV73E6KQ1C31G7F1TGAWGB,accessory2,Frame,Patch Pocket Trench
01DQBAVTX4DV62X94VAKV5GCC9,01DPH19482XDP8RNN9NCWV0JR3,shoe,J.Crew,Laney slingback pumps in wool with leather cap toe
01DQBAVTX4DV62X94VAKV5GCC9,01DPKN1P7T4AZH2QWE3EVQDHYV,top,Reformation,Sadie Sweater
01DQBAVTX4DV62X94VAKV5GCC9,01DQBAE23G2KR8C7ZQH443PBCZ,bottom,Bailey 44,Travis Pant
01DQBB97RZY3N8D913HSNQ2NM3,01DPD3J095SRERSPGGYX9FFRKX,top,Veronica Beard,Tristen Blouse
01DQBB97RZY3N8D913HSNQ2NM3,01DPES9EZ3AWYQH0HYXHGW1T1N,shoe,J.Crew,Lucie pumps in snake-embossed leather
01DQBB97RZY3N8D913HSNQ2NM3,01DPGY5WT01J8D9M39WEY7Z7W5,accessory1,Sole Society,Debdi Tote
01DQBB97RZY3N8D913HSNQ2NM3,01DPKN2EKCVN928X5HPHCMZKPJ,accessory2,Reformation,York Coat
01DQBB97RZY3N8D913HSNQ2NM3,01DPKNC8DRM7M7NHZPF1Q3C15C,bottom,Reformation,Pratt Skirt
01DQBBXQ5N8TBD77VCRTR9NF8H,01DPCWRYQMHRAG7NJ3Q5JJMT42,shoe,J.Crew,Lucie suede pumps
01DQBBXQ5N8TBD77VCRTR9NF8H,01DPGV9PFVQBXZQ8BKT0EVK2DB,bottom,Frame,Plaid Cropped Perfect Trouser
01DQBBXQ5N8TBD77VCRTR9NF8H,01DPH1QZE2EMXHM69VA38MBGA8,accessory2,Sole Society,Chusy Tote
01DQBCA87FP52VJD3SKZDRHJEJ,01DPEQS48Z0CDFW58A4NK19CB4,shoe,J.Crew,Laney slingback pumps in leather with tortoise heel
01DQBCA87FP52VJD3SKZDRHJEJ,01DPGV9SVVH5JTR8AP19FN8HK3,accessory2,Frame,Double Faced Bell Coat
01DQBCA87FP52VJD3SKZDRHJEJ,01DPGVDSAM963G5ATQ66QN2VMK,top,Frame,Suede 70s Shirt
01DQBCA87FP52VJD3SKZDRHJEJ,01DPKN8WZNHFA3QA6JR83N92W0,bottom,Reformation,Jessie High Crop Boot
01DQBD8EJYBPQ8510V5ZY9KK4P,01DPEB8HX0GK7A07QADNB52404,accessory2,Sole Society,Collared Cable Knit Cardigan
01DQBD8EJYBPQ8510V5ZY9KK4P,01DPGWW5EA4KQ73H255BDHWZND,shoe,J.Crew,Pointed toe high-heel ankle boots in suede
01DQBD8EJYBPQ8510V5ZY9KK4P,01DPKNFTZP5G0PEH660CN8VX7E,onepiece,Reformation,Lilian Dress
01DQBDB8X4DM6SWYFHJ0NY9AF5,01DPGV4YRP3Z8J85DASGZ1Y99W,accessory1,Frame,Les Second - Medium--NOIR
01DQBDB8X4DM6SWYFHJ0NY9AF5,01DPGV74AR5GXBVYEZB86TS9PE,shoe,Frame,FRAME x Tamara Mellon Slouch Knee Boot
01DQBDB8X4DM6SWYFHJ0NY9AF5,01DPGYA54B3ZR5318H5321PZWS,onepiece,Veronica Beard,Mick Dress
01DQBENF6DZYY4DEX78FW0M5K6,01DPEN84F0EDT38ZX9H8R6ZTYN,shoe,J.Crew,Cross-strap flat sandals in mirror metallic leather
01DQBENF6DZYY4DEX78FW0M5K6,01DPGVH2GJSJSVE1RP5TF1J3XS,top,Frame,Tie Dye True Tee
01DQBENF6DZYY4DEX78FW0M5K6,01DPH0WT4BKRT5CZ3QV1Z1YA21,bottom,Veronica Beard,Crosbie High-Rise Wide-Leg
01DQBEXZDTNT9WBACEQ848RKB7,01DPC9XNR3XBH3HAAQYGYKRJ5H,onepiece,J.Crew,Tiered sleeveless maxi dress in Ratti® scarf paisley
01DQBEXZDTNT9WBACEQ848RKB7,01DPCZ5DTE59VBYD9NWNSZKC40,shoe,J.Crew,Pink velvet d'Orsay flats with satin knot
01DQBEXZDTNT9WBACEQ848RKB7,01DPER1BXHZNAE3BAF7J88ZWNK,accessory1,Sole Society,Speckled Knit Scarf
01DQBEXZDTNT9WBACEQ848RKB7,01DPGVD9XJQCGK325JQ8RD6MYV,accessory2,Frame,Bishop Denim Jacket
01DQBFPW6AHMQXFF6GAP50SABH,01DPC8AMPE4CZHMJETF1Q8VEN0,accessory2,J.Crew,Teddy sherpa topcoat
01DQBFPW6AHMQXFF6GAP50SABH,01DPCB2KEAVXXKFVM7FXBNE4VY,shoe,J.Crew,Fiona lace-up kitten heel ankle boots in black suede
01DQBFPW6AHMQXFF6GAP50SABH,01DPGVKMVETJ64KSGV536H32Z4,accessory1,Frame,Suede Les Second - Mini
01DQBFPW6AHMQXFF6GAP50SABH,01DPKMNZQTEQX2Y6KXMGXFX9TQ,onepiece,Reformation,Lemongrass Jumpsuit
01DQBX47FY0JJHWF0F6XR482RJ,01DPD350MSFXMW7S524JKEN2TY,shoe,Veronica Beard,Lexi Bootie
01DQBX47FY0JJHWF0F6XR482RJ,01DPGV4F7FMBYTE3Q32M81JPXC,accessory2,Frame,Cocoon Shearling Coat
01DQBX47FY0JJHWF0F6XR482RJ,01DPH1E5K89BEY6K3B7ZY73A8X,bottom,Veronica Beard,Hatcher Skirt
01DQBX47FY0JJHWF0F6XR482RJ,01DPKN24A47NA82SP2M7VYRSD3,top,Reformation,Tatum Sweater
01DQBZA0BPZBZ9R0Q0TTDSRDHF,01DPC6Z5K3ZB8KZ0M6YW7Z4JX8,top,J.Crew,Balloon sleeve cable knit cardigan
01DQBZA0BPZBZ9R0Q0TTDSRDHF,01DPEEZGRJYX4N4WE78GPM0B2G,shoe,J.Crew,Sadie boots in suede
01DQBZA0BPZBZ9R0Q0TTDSRDHF,01DPKMXBJEMQWQWAZHGJK1RS8Z,bottom,Reformation,Liza High Straight Crop
01DQBZJK3WVSPMT537V8TSXKNJ,01DPD2FGA0FWFXJCKMT5QBJYHK,bottom,Veronica Beard,Ravello Skirt
01DQBZJK3WVSPMT537V8TSXKNJ,01DPGSTG4M1RXB26QMMN0MPPB8,top,J.Crew,Mockneck sweater in supersoft yarn
01DQBZJK3WVSPMT537V8TSXKNJ,01DPGT0E7WVPXS08E94KBYJ7MB,accessory2,Veronica Beard,Schoolboy Dickey Jacket
01DQBZJK3WVSPMT537V8TSXKNJ,01DPKNHQDG6GPTKV97CFQRJDHE,shoe,Reformation,Giulia Satin Heel
01DQBZS1GQBDGFVRPQ7H856VTC,01DPCWEJRBVWZE397FMF9QXBBY,onepiece,J.Crew,Gingham button-front midi dress with ruffle hem in soft rayon
01DQBZS1GQBDGFVRPQ7H856VTC,01DPD3AGTNRNAKNP8TH9WYG35X,accessory2,Veronica Beard,Theron Jacket
01DQBZS1GQBDGFVRPQ7H856VTC,01DPKND5D3PPZ0XS4TCPMHTRTZ,shoe,Reformation,Charlotte Boot
01DQBZZB22Y3A79BS224MKE6GN,01DPD4R5X5TQCWTVTC2AEAFC10,onepiece,Veronica Beard,Ida Dress
01DQBZZB22Y3A79BS224MKE6GN,01DPEHS0XH9PDD1GH5ZE4P43A2,accessory1,Sole Society,Cassi Belt Bag
01DQBZZB22Y3A79BS224MKE6GN,01DPGV0TFFJ720BT3F8ADN4V7P,accessory2,J.Crew,Women's 2011 Icon trench
01DQBZZB22Y3A79BS224MKE6GN,01DPKNCMSFAWF2HVQSRHHXDV0K,shoe,Reformation,Virginia Boot
01DQC0C2Y4AC6WXC60YQE3PYTM,01DPD1R0F6Z4EJCPNDKPAG5DPF,bottom,Veronica Beard,Lebone Pant
01DQC0C2Y4AC6WXC60YQE3PYTM,01DPD2GDFTFSPPDSNPFQ0W3PQ7,top,Veronica Beard,Eden Blouse
01DQC0C2Y4AC6WXC60YQE3PYTM,01DPD2JCXH4NYQTRPJA6T6VGA9,shoe,Veronica Beard,Loretta Bootie
01DQC0C2Y4AC6WXC60YQE3PYTM,01DPKN2J5P9TZMX8ZZZRHG8RAJ,accessory2,Reformation,Somerset Coat
01DQC0PK496P7MBAR6SVZP1F6H,01DPD7KN5438Z6VNZKFTTGY34G,bottom,Veronica Beard,Colvin Pant
01DQC0PK496P7MBAR6SVZP1F6H,01DPD9MVZAPGVX5P3AY7Y53X9V,shoe,Veronica Beard,Charley Sandal
01DQC0PK496P7MBAR6SVZP1F6H,01DPDVGJABJVQ3S3DA3TJRD1R7,accessory1,Sole Society,Destin Satchel
01DQC0PK496P7MBAR6SVZP1F6H,01DPGV907RVE6WXD00BN285VQV,top,Frame,Cali Popover
